player_name,Type,description,game_type,inning,inning_topbot,home_team,away_team,balls,strikes,stand,p_throws,plate_x,plate_z,sz_top,sz_bot,Ump_HP,Ump_Nation,Ump_Continent,actual,called,error,error_type,batter_team,pitcher_team,batter_continent,pitcher_continent,round,dist_x,dist_z,pmax_dist,border_dist,border_dist_inch,plate_x_abs,plate_z_norm,count_label,stand_L,p_throws_L,round_T,bat_Asia,bat_Europe,bat_LatAm,bat_Oceania,pit_Asia,pit_Europe,pit_LatAm,pit_Oceania
"Witt Jr., Bobby",ball-ball,ball,W,8,Bot,USA,VEN,1,0,R,R,-1.439983715,2.424418152,3.238,1.634,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.731683715,-0.790418152,0.731683715,0.731683715,8.78020458,1.439983715,0.492779397,Jan-00,0,0,1,0,0,0,0,0,0,1,0
"Bregman, Alex",ball-ball,ball,W,7,Bot,USA,VEN,2,1,R,L,1.530140173,2.211026955,3.126,1.578,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.821840173,-0.633026955,0.821840173,0.821840173,9.862082076,1.530140173,0.408932141,2岿 1老,0,1,1,0,0,0,0,0,0,1,0
"Harper, Bryce",ball-ball,ball,W,6,Bot,USA,VEN,2,0,L,R,0.798276408,0.696190925,3.265,1.648,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.089976408,0.951809075,0.951809075,0.951809075,11.4217089,0.798276408,-0.588626515,Feb-00,1,0,1,0,0,0,0,0,0,1,0
"Abreu, Wilyer",ball-ball,ball,W,7,Top,USA,VEN,1,0,L,R,-0.481898408,0.998265967,3.117,1.573,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,-0.226401592,0.574734033,0.574734033,0.574734033,6.896808396,0.481898408,-0.372237068,Jan-00,1,0,1,0,0,1,0,0,0,0,0
"Turang, Brice",ball-ball,ball,W,5,Bot,USA,VEN,0,1,L,R,-1.011830038,1.53233695,3.21,1.62,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.303530038,0.08766305,0.303530038,0.303530038,3.642360456,1.011830038,-0.055133994,0-1,1,0,1,0,0,0,0,0,0,1,0
"Anthony, Roman",ball-ball,ball,W,9,Bot,USA,VEN,0,0,L,R,-1.073339243,4.967506024,3.326,1.679,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.365039243,1.641506024,1.641506024,1.641506024,19.69807229,1.073339243,1.996664253,0-0,1,0,1,0,0,0,0,0,0,1,0
"Abreu, Wilyer",ball-ball,ball,W,7,Top,USA,VEN,0,0,L,R,-0.950205393,2.195538869,3.117,1.573,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,0.241905393,-0.622538869,0.241905393,0.241905393,2.902864716,0.950205393,0.403198749,0-0,1,0,1,0,0,1,0,0,0,0,0
"Su?rez, Eugenio",ball-ball,ball,W,9,Top,USA,VEN,1,1,R,R,-0.971783379,2.936617766,3.171,1.6,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,0.263483379,-0.234382234,0.263483379,0.263483379,3.161800548,0.971783379,0.85080698,1岿 1老,0,0,1,0,0,1,0,0,0,0,0
"Harper, Bryce",ball-ball,ball,W,6,Bot,USA,VEN,1,0,L,R,0.285494781,0.256167313,3.265,1.648,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,-0.422805219,1.391832687,1.391832687,1.391832687,16.70199224,0.285494781,-0.860749961,Jan-00,1,0,1,0,0,0,0,0,0,1,0
"Judge, Aaron",ball-ball,ball,W,1,Bot,USA,VEN,1,1,R,L,0.397239106,1.105043122,3.523,1.778,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,-0.311060894,0.672956878,0.672956878,0.672956878,8.075482536,0.397239106,-0.385648641,1岿 1老,0,1,1,0,0,0,0,0,0,1,0
