Type,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,outs_when_up,inning,inning_topbot,Ump_HP,Ump_Nation,Ump_Continent,Ump_Birth,Ump_year,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,spin_axis,delta_home_win_exp,delta_run_exp,delta_pitcher_run_exp,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
ball-ball,CU,3/17/2026,82.3,-3.6,5.33,"Garcia, Maikel",672580,690997,ball,14,Ball,W,R,R,USA,VEN,B,1,2,1.22,-0.97,2.995004529,0.694958695,1,3,Top,Dan Bellino,USA,North America,1978,15,12.24094901,-119.0216053,-1.477553573,8.092310698,30.96497928,-41.01976718,3.262,1.646,80.4,3284,6.2,788094,54.33,17,4,0,0,0,0,0,0,0,0,43,-0.056,0.058,-0.058,0,0,0.468,0.532,24,26,25,26,4.48,-1.22,-1.22
ball-ball,FF,3/17/2026,91.6,1.11,5.74,"Buxton, Byron",621439,593958,ball,11,Ball,W,R,L,USA,VEN,B,1,1,0.65,1.41,-1.14344239,3.353345358,1,3,Bot,Dan Bellino,USA,North America,1978,15,-6.988410756,-133.0878542,-2.998578082,9.265858553,31.32723101,-14.99478034,3.258,1.644,90.7,2349,6.1,788094,54.44,21,3,0,1,0,1,1,0,0,1,146,0.007,0.062,-0.062,-1,-1,0.438,0.438,33,32,33,33,1.33,0.65,-0.65
ball-ball,FF,3/17/2026,97.5,-3.38,5.33,"Garcia, Maikel",672580,690997,ball,12,Ball,W,R,R,USA,VEN,B,0,1,-0.95,1.35,1.442444885,2.666639323,1,3,Top,Dan Bellino,USA,North America,1978,15,14.93229962,-140.9746214,-4.451655937,-16.36518207,36.72622235,-13.3664159,3.262,1.646,96.4,2343,6.3,788094,54.16,17,2,0,0,0,0,0,0,0,0,227,-0.005,0.039,-0.039,0,0,0.463,0.537,24,26,25,26,1.11,0.95,0.95
ball-ball,FF,3/17/2026,92.3,1.19,5.83,"Buxton, Byron",621439,593958,ball,11,Ball,W,R,L,USA,VEN,B,0,1,0.31,1.45,-0.804534943,3.812292192,1,3,Bot,Dan Bellino,USA,North America,1978,15,-5.668338378,-134.3246981,-2.284777714,5.068983698,31.47890792,-14.44746874,3.258,1.644,91.5,2388,6,788094,54.5,21,2,0,1,0,1,1,0,0,1,151,0.003,0.034,-0.034,-1,-1,0.435,0.435,33,32,33,33,1.25,0.31,-0.31
ball-ball,SI,3/17/2026,97.7,-3.77,5.21,"Acu?a Jr., Ronald",660670,690997,ball,11,Ronald Acu?a Jr. walks. Salvador Perez to 2nd.,W,R,R,USA,VEN,B,3,2,-1.58,0.47,-0.11145284,3.509958934,1,3,Top,Dan Bellino,USA,North America,1978,15,13.39158092,-141.5073476,0.101439182,-24.47341019,36.74210725,-26.17580838,3.201,1.615,96.8,2424,6.3,788094,54.16,16,7,0,0,0,0,0,0,0,0,229,-0.036,0.27,-0.27,0,0,0.491,0.509,24,28,25,29,1.96,1.58,1.58
ball-ball,FF,3/17/2026,99,-3.49,5.46,"Acu?a Jr., Ronald",660670,690997,ball,11,Ball,W,R,R,USA,VEN,B,2,2,-0.9,1.23,-0.381631853,3.818351241,1,3,Top,Dan Bellino,USA,North America,1978,15,10.45241996,-143.6951912,-1.681064157,-15.2670793,40.39202583,-15.17525971,3.201,1.615,97.6,2379,6.1,788094,54.38,16,6,0,0,0,0,0,0,0,0,232,-0.009,0.103,-0.103,0,0,0.5,0.5,24,28,25,29,1.15,0.9,0.9
ball-ball,FF,3/17/2026,91.4,1.16,5.86,"Turang, Brice",668930,593958,ball,14,Ball,W,L,L,USA,VEN,B,0,0,0.13,1.4,0.000245425,1.349104408,1,3,Bot,Dan Bellino,USA,North America,1978,15,-3.1575819,-132.8110834,-8.219048028,2.239594282,29.64197653,-14.08048874,3.21,1.62,90.9,2328,6.2,788094,54.31,20,1,0,1,0,1,1,0,0,1,152,0.003,0.055,-0.055,-1,-1,0.409,0.409,33,26,33,27,1.35,0.13,0.13
ball-ball,CH,3/17/2026,89.5,-3.55,5.31,"Acu?a Jr., Ronald",660670,690997,ball,14,Ball,W,R,R,USA,VEN,B,1,2,-1.33,-0.22,0.412660024,0.673405183,1,3,Top,Dan Bellino,USA,North America,1978,15,12.36179632,-129.5155321,-4.502942893,-17.7520883,31.45636471,-33.70652261,3.201,1.615,88,991,6,788094,54.47,16,4,0,0,0,0,0,0,0,0,254,-0.005,0.052,-0.052,0,0,0.505,0.495,24,28,25,29,3.14,1.33,1.33
ball-ball,SI,3/17/2026,92.5,1.16,5.85,"Smith, Will",669257,593958,ball,14,Ball,W,R,L,USA,VEN,B,1,0,1.2,1.35,1.447183034,2.278058595,0,3,Bot,Dan Bellino,USA,North America,1978,15,-1.927613143,-134.4933182,-5.954700378,14.90646143,32.79793032,-14.73679652,3.138,1.583,91.5,2292,6,788094,54.51,19,2,0,1,0,1,1,0,0,1,153,0.009,0.105,-0.105,-1,-1,0.441,0.441,33,31,33,31,1.35,1.2,-1.2
ball-ball,FC,3/17/2026,89.9,1.09,5.89,"Smith, Will",669257,593958,ball,11,Ball,W,R,L,USA,VEN,B,0,0,-0.02,0.83,-0.11681971,3.729335737,0,3,Bot,Dan Bellino,USA,North America,1978,15,-2.877127936,-130.8951368,-0.982695933,0.387641203,28.88549302,-22.6314569,3.138,1.583,89.3,2346,6,788094,54.53,19,1,0,1,0,1,1,0,0,1,164,0.004,0.058,-0.058,-1,-1,0.437,0.437,33,31,33,31,1.99,-0.02,0.02
ball-ball,SI,3/17/2026,99,-4.04,5.13,"Acu?a Jr., Ronald",660670,690997,ball,11,Ball,W,R,R,USA,VEN,B,0,0,-1.61,0.48,-0.823723493,3.463976454,1,3,Top,Dan Bellino,USA,North America,1978,15,12.45037929,-143.4987683,0.008593651,-25.26745146,37.2078316,-25.82182093,3.201,1.615,98.2,2340,6.3,788094,54.17,16,1,0,0,0,0,0,0,0,0,233,-0.004,0.044,-0.044,0,0,0.497,0.503,24,28,25,29,1.88,1.61,1.61
ball-ball,FC,3/17/2026,90.2,1.21,5.74,"Anthony, Roman",701350,593958,ball,13,Ball,W,L,L,USA,VEN,B,2,1,-0.26,0.71,-1.038530256,1.563160576,2,2,Bot,Dan Bellino,USA,North America,1978,15,-4.92825497,-131.1789803,-5.72019617,-1.973812035,27.40752758,-22.9228152,3.326,1.679,90,2370,6.2,788094,54.35,13,4,0,0,0,0,0,0,0,0,159,0.004,0.11,-0.11,0,0,0.512,0.512,33,22,33,22,2.09,-0.26,-0.26
